"Occasion","Sample_Size","SMFQ_Mean","SMFQ_SD","SMFQ_Median","SMFQ_IQR"
1,7359,4.0392716401685,3.51182622237264,3,5
3,6712,3.9700536352801,3.85706049060374,3,4
5,6014,4.91852344529431,4.48943317422989,4,5
7,4993,5.9074704586421,5.63672658276849,4,6
8,4493,6.58312931226352,5.24867369079446,5,7
9,3333,6.82208220822082,5.92579905688908,5,7
10,3303,5.69663941871026,5.57466886723054,4,6
11,3919,6.19596835927532,5.52721920996598,5,7
12,4021,7.03854762496891,6.05334957475295,5,8
14,4019,6.8885294849465,6.41291281508106,5,8
16,4215,6.64412811387901,6.09932407676131,5,8
